控件分类,控件英文缩写,英文全称,,资产词典,资产英文缩写,英文全称
通用游戏测试,game1,gm2,,Game3,Game4,g5
特效,Eff,effect,,扑克牌,Card,
按钮,Btn,button,,扑克桌,Table,
图片,Img,,,麻将桌,MjTable,
进度条（滑动器）,Slider,,,麻将牌,Mjcard,
进度条 （百分比）,Pb,例如任务进度,,聊天,Chat,
面板,Panel,,,邀请好友,Friend,OA
美术字,Fnt,,,结算,Result,
装载器,Loader,,,表情,Emo,
输入框,Input,,,防作弊,Gps,
组件,Comp,,,收藏,Collect,
列表,List,,,评论,Comment,
文字,Text,,,广告,Ad,
上,Top,,,时间,Time,
下,Bottom,,,音频,Audio,
左,Left,,,视频,Video,
右,Right,,,不喜欢,Dislike,
,,,,搜索,Search,
,,,,标志,Logo,
,,,,关闭,Close,
,,,,返回,Back,
,,,,编辑,Edit,
,,,,内容,Content,
,,,,提示信息,Msg,
,,,,删除,Delete,
,,,,下载,Download,
,,,,登录,Login,
,,,,注册,Regsiter,
,,,,注释,Note,
,,,,链接,Link,
,,,,刷新,Refresh,
,,,,兑换,Exchange,
,,,,背景,Bg,background
,,,,弹窗,Pan,panel
,,,,正文,Text,
,,,,记牌器,Register,
,,,,公用,Cmn,
,,,,下拉,Pd,pull-down
,,,,头像,Head,
,,,,气泡,Bubble,
,,,,进度条,Pb,Progress bar
,,,,单选框,BtnRadio,
,,,,复选框,BtnCheckbox,
,,,,图标,Icon,
,,,,标题,Title,
,,,,线,Line,
,,,,菜单,Menu,
,,,,蒙版、遮罩,Mask,
,,,,栏,Bar,
,,,,输入框,Input,
,,,,图片,Img,
,,,,金币,Gold,
,,,,钻石,Diamond,
,,,,标签,Tab,
,,,,程序字,Txt,
,,,, 图形,Graph,Graphics
,,,,组,G,
,,,,进度条 （百分比）,ProgressBar,
,,,,选中,Sel,Select
,,,,模块,Mod,Module
,,,,入口,Ent,Enter
,,,,查看,View,View
,,,,金,Gold,Gold
,,,,银,Silver,Silver
,,,,铜,Copper,Copper
,,,,上,Top,
,,,,下,Bottom,
,,,,左,Left,
,,,,右,Right,
,,,,中,Middle,
